Time,Number of players,Total bets,Multiplier(Crash),Total gains,L
20:50,10932,6571366.32 LKR,1.36,1478362.77 LKR,2256883
20:50,9932,6476272.09 LKR,1.12,171370.07 LKR,2256890
20:51,9292,4972590.7 LKR,1.2,0 LKR,2256900
20:51,8816,4488631.79 LKR,7.74,11203541.74 LKR,2256910
20:52,11706,7623336.65 LKR,4.27,9739681.92 LKR,2256927
20:52,11094,6359894.26 LKR,8.35,14408920.42 LKR,2256938
20:53,11699,7220895.79 LKR,1.59,572978.93 LKR,2256954
20:53,9768,4958775.93 LKR,13.88,16171755.92 LKR,2256966
20:54,12408,6875786.76 LKR,1.87,2547056.02 LKR,2256982
20:54,11420,5257978.95 LKR,5.7,10737027.67 LKR,2256991
20:54,13032,7476346.82 LKR,1.46,0 LKR,2257008
20:55,12000,7357117.64 LKR,1.95,1308029.17 LKR,2257020
20:55,12707,7641945.38 LKR,6.01,17415781.07 LKR,2257030
20:56,14111,8257411.27 LKR,18.35,44272285.06 LKR,2257043
20:57,13515,6821739.92 LKR,7.96,23179648.33 LKR,2257065
20:57,13961,7150975.38 LKR,1.39,409414.4 LKR,2257079
20:57,10647,4634007.48 LKR,1.03,0 LKR,2257091
20:58,10614,5285235.15 LKR,1.84,1151361.98 LKR,2257100
20:58,13412,7617913.97 LKR,5.09,15842912.95 LKR,2257110
20:58,15525,7067583.1 LKR,4.12,11437919.12 LKR,2257127
20:59,15102,7121240.28 LKR,2.85,4473154.68 LKR,2257139
20:59,14054,8192193.53 LKR,5.77,19706086.56 LKR,2257151
21:00,15601,6482955.58 LKR,2.54,3028005.13 LKR,2257165
21:00,13987,5952116.12 LKR,1,0 LKR,2257176
21:00,13568,6749029.52 LKR,1.02,0 LKR,2257185
21:01,12686,5810323.57 LKR,2.49,2055220.78 LKR,2257192
21:01,16226,9456089.28 LKR,1.05,0 LKR,2257203
21:01,14207,7461806.93 LKR,1.35,246407.58 LKR,2257213
21:02,13238,8365244.06 LKR,1.07,0 LKR,2257223
21:02,12342,8601042.56 LKR,1.19,175078.64 LKR,2257232
21:02,10963,8628222.79 LKR,1.6,536523.89 LKR,2257240
21:03,11520,8788765.08 LKR,6.09,26675040.81 LKR,2257252
21:03,14544,8747202.08 LKR,3.29,8549934.92 LKR,2257266
21:03,13718,8102537.94 LKR,1,0 LKR,2257279
21:04,12210,7006144.49 LKR,2.85,4481876.01 LKR,2257288
21:04,13537,7004585.55 LKR,11.1,20589753.4 LKR,2257303
21:05,14238,7300286.69 LKR,1.07,0 LKR,2257319
21:05,11418,6343701.73 LKR,1.09,0 LKR,2257327
21:05,10571,6387190.55 LKR,1.21,101233.95 LKR,2257335
21:06,11037,6629484.13 LKR,1.81,827022.6 LKR,2257345
21:06,13227,7372284.26 LKR,1.81,1577316.75 LKR,2257356
21:06,12703,7422317.01 LKR,4.84,15926456.11 LKR,2257367
21:07,14421,7531178.08 LKR,1.11,216931.96 LKR,2257380
21:07,11567,5605753.15 LKR,22.76,17513445.58 LKR,2257389
21:08,13064,6279500.47 LKR,2.3,1793833.14 LKR,2257409
21:08,12145,5445835.43 LKR,2.35,4048275.25 LKR,2257418
21:09,12665,5858497.45 LKR,12.98,21689834.73 LKR,2257433
21:09,13616,5098308.78 LKR,3.1,4926901.18 LKR,2257449
21:10,13103,6473554.6 LKR,27.23,20663203.08 LKR,2257461
21:10,14048,6980647.67 LKR,1.03,0 LKR,2257483
21:11,10920,5547272.66 LKR,6.6,11500093.97 LKR,2257494
21:11,14779,6339518.62 LKR,1.15,0 LKR,2257508
21:12,13083,6251025.42 LKR,28.26,20107855.81 LKR,2257518
21:13,14347,6029330.07 LKR,14.99,21411610.04 LKR,2257543
21:13,14687,6114653.78 LKR,1,0 LKR,2257561
21:13,13215,5696956.31 LKR,2.29,2383513.43 LKR,2257570
21:14,14892,6947455.7 LKR,2.03,2130382.21 LKR,2257579
21:14,15219,6415610.74 LKR,21.33,21579031.93 LKR,2257591
21:15,16076,6864528 LKR,9.9,22874947.06 LKR,2257610
21:15,15083,6212314.72 LKR,1.16,0 LKR,2257628
21:16,12833,5135606.89 LKR,3.33,4106228.33 LKR,2257639
21:16,16452,7398132.22 LKR,2.72,5613436.49 LKR,2257652
21:16,16556,7539191.9 LKR,4.41,12369162.34 LKR,2257660
21:17,17066,8320592.47 LKR,1.58,532773.67 LKR,2257673
21:18,14895,7470661.99 LKR,21.86,27582604.34 LKR,2257683
21:18,17172,7833060.25 LKR,1.47,0 LKR,2257702
21:19,15600,6778292.91 LKR,28.71,26353216.59 LKR,2257713
21:19,16421,7288742.27 LKR,1.13,0 LKR,2257736
21:19,15729,7695792.91 LKR,1.27,379950.78 LKR,2257745
21:20,14895,7840207.01 LKR,1,0 LKR,2257756
21:20,16306,8643316.37 LKR,3.41,8045845.8 LKR,2257765
21:20,18726,11490354.44 LKR,3.35,12278998.07 LKR,2257775
21:21,18543,9655741.67 LKR,9.64,29273897.88 LKR,2257786
21:21,17555,8994229.99 LKR,2.22,1704653.19 LKR,2257805
21:22,16409,8138000.34 LKR,1.45,364845.11 LKR,2257818
21:22,15237,7019733.44 LKR,5.85,18037948.24 LKR,2257828
21:22,18440,8860388.56 LKR,1.7,760184.72 LKR,2257843
21:23,17390,8844486.25 LKR,5.1,14013996.78 LKR,2257853
21:24,18367,9767297.66 LKR,15.2,46212591.37 LKR,2257869
21:24,17515,8106510.51 LKR,1.38,889555.74 LKR,2257890
21:24,15455,6175427.35 LKR,6.11,15192181.82 LKR,2257898
21:25,18358,8690531.29 LKR,2.45,3650458.58 LKR,2257909
21:26,17846,7887970.58 LKR,28.37,31233444.11 LKR,2257922
21:26,17924,7741498.53 LKR,1.16,350128.16 LKR,2257946
21:26,15662,7357127.43 LKR,1.93,1573782.89 LKR,2257955
21:27,18870,9674337.57 LKR,2.1,2155221.56 LKR,2257965
21:27,20108,10642024.98 LKR,1.8,905868.72 LKR,2257977
21:27,19433,9985668.79 LKR,4.85,18960882.34 LKR,2257986
21:28,21176,9230987.97 LKR,3.55,11727363.33 LKR,2258002
21:28,20356,9113277.72 LKR,1.24,451052.31 LKR,2258013
21:29,18018,7959875.67 LKR,11.52,26306810.87 LKR,2258024
21:29,19789,8935928.39 LKR,1.11,0 LKR,2258040
21:29,17244,8704612.76 LKR,1.19,0 LKR,2258048
21:30,17131,9615922.31 LKR,22.6,36034889.03 LKR,2258059
21:30,18732,7507770.8 LKR,1.26,97977 LKR,2258082
21:31,16831,7743741.44 LKR,1.05,0 LKR,2258091
21:31,17288,9518425.51 LKR,1.25,209840.06 LKR,2258100
21:32,17515,11586319.51 LKR,14.19,35891588.6 LKR,2258111
21:32,19356,8636872.97 LKR,1.43,439877.15 LKR,2258131
21:32,16830,9481571.75 LKR,2.27,3876327.05 LKR,2258141
21:33,19572,9580873.4 LKR,1.78,1520249.19 LKR,2258151
21:33,19755,11431169.46 LKR,1.7,2279434.94 LKR,2258162
21:34,18993,10997942.66 LKR,8.41,34018010 LKR,2258173
21:34,19789,8168514.56 LKR,1.81,907874.59 LKR,2258188
21:34,17863,9079196.28 LKR,3.85,11280414.65 LKR,2258199
21:35,19295,9097600.21 LKR,1.37,1110402.25 LKR,2258212
21:35,18110,8223611.5 LKR,3.18,6902426.13 LKR,2258222
21:36,19783,9402685.29 LKR,6.67,20557044.26 LKR,2258232
21:36,19032,9294906.95 LKR,1.07,0 LKR,2258247
21:37,16836,8586773.97 LKR,21.22,29270743.2 LKR,2258256
21:37,18044,6995080.08 LKR,6.47,18180942.18 LKR,2258276
21:38,17659,7723264.84 LKR,2.01,1488167.96 LKR,2258293
21:38,16449,8824507.4 LKR,1.31,0 LKR,2258306
21:38,16316,7398617.31 LKR,1.84,1301394.16 LKR,2258315
21:39,19201,8923091.26 LKR,3.74,12487575.45 LKR,2258327
21:39,21120,9143526.34 LKR,8.76,28253357.04 LKR,2258337
21:40,19815,7820304.61 LKR,1.54,685068.56 LKR,2258356
21:40,17758,7401161.51 LKR,2.69,4263033.53 LKR,2258367
21:40,15042,7694868.3 LKR,2.6,6831224.74 LKR,2258373
21:41,16482,9067650.81 LKR,3.58,13275411.76 LKR,2258387
21:41,16618,7410412.1 LKR,2.33,3474674.88 LKR,2258399
21:41,15736,7006295.67 LKR,1.07,0 LKR,2258412
21:42,13778,5293509.81 LKR,2.68,4907228.09 LKR,2258418
21:42,16288,8099008.23 LKR,1.1,68715.05 LKR,2258431
21:42,14857,8039134.96 LKR,1.37,143479.86 LKR,2258440
21:43,13789,8658990.97 LKR,2.74,10563635.28 LKR,2258452
21:43,15366,8486825.15 LKR,1.62,1332072.64 LKR,2258461
21:44,14258,8647088.1 LKR,4.96,17603197.97 LKR,2258474
21:44,15137,6446292.35 LKR,1.57,1732383.38 LKR,2258487
21:44,13780,7099470 LKR,1.36,610423.61 LKR,2258498
21:44,12885,6552184.17 LKR,1.11,0 LKR,2258508
21:45,12179,6182381.3 LKR,1.1,0 LKR,2258514
21:45,11129,6123172.32 LKR,1.54,347989.35 LKR,2258523
21:45,11607,7705170.37 LKR,1.04,220447.41 LKR,2258535
21:46,10193,7393744.79 LKR,9.41,18710494.92 LKR,2258541
21:46,12599,6066348.39 LKR,7.17,14277552.64 LKR,2258559
21:47,12479,6669341.28 LKR,1.91,2631415.69 LKR,2258575
21:47,10865,5608865.33 LKR,1.1,308839.4 LKR,2258587
21:48,9879,5658856.74 LKR,7.05,13361871.96 LKR,2258594
21:48,13034,5863339.3 LKR,1.02,0 LKR,2258610
21:48,11314,5254666.55 LKR,1.07,0 LKR,2258616
21:49,10730,5548183.84 LKR,4.7,11401571.84 LKR,2258626
21:49,12793,5482055.62 LKR,1.22,143741.26 LKR,2258640
21:49,10717,5191693.47 LKR,1.14,137409.45 LKR,2258648
21:50,10822,5188936.9 LKR,1.34,202307.66 LKR,2258656
21:50,10729,6146135.62 LKR,1.01,0 LKR,2258664
21:51,10742,8208741.45 LKR,13.96,21602310.47 LKR,2258674
21:51,11892,6446201.18 LKR,5.14,12061781.2 LKR,2258690
21:56,9694,3933252.51 LKR,4.54,7635142.37 LKR,2258833
23:12,11584,6963293.68 LKR,2.1,529336.36 LKR,2261155
23:12,9512,5442458.13 LKR,1.02,0 LKR,2261165
23:13,8483,4860527.68 LKR,2.96,3361200.55 LKR,2261173
23:13,11993,6878271.3 LKR,3.01,6091809.36 LKR,2261186
23:14,12696,8543809.22 LKR,8.26,23838369.83 LKR,2261198
23:14,12379,6598017.38 LKR,1.13,136099.2 LKR,2261214
23:14,9935,5362708.05 LKR,1,0 LKR,2261220
23:15,11473,8564483.73 LKR,1.92,1676494.76 LKR,2261229
23:15,12842,9517418.42 LKR,2.93,6946404.57 LKR,2261241
23:15,13970,9448642.67 LKR,1.04,0 LKR,2261254
23:16,12353,6952268.89 LKR,2.86,4077579.4 LKR,2261264
23:16,13307,8318031.54 LKR,1.67,1404737.55 LKR,2261275
23:16,12355,8348116.99 LKR,1.77,1551789.79 LKR,2261285
23:17,12535,8138208.88 LKR,1.13,159160.41 LKR,2261295
23:17,11006,9128166.68 LKR,2,2297802.38 LKR,2261300
23:17,12310,9882682.88 LKR,1.67,1016895.55 LKR,2261315
23:18,10892,9264059.96 LKR,3.17,5925635.4 LKR,2261326
23:18,12306,9148689.19 LKR,1.8,391690 LKR,2261339
23:19,10905,8107045.34 LKR,3.85,7582006.81 LKR,2261348
23:19,11659,8346586.79 LKR,1.07,74826.09 LKR,2261361
23:19,10333,6018011.32 LKR,3.95,8510405.31 LKR,2261370
23:20,11097,7086114.26 LKR,3.2,5164714.46 LKR,2261383
23:20,10978,6969516.5 LKR,3.11,6441155.69 LKR,2261394
23:21,11018,7121999.08 LKR,1.25,335657.89 LKR,2261408
23:21,9828,6847184.25 LKR,5.15,12048893.02 LKR,2261416
23:21,11998,5436701.55 LKR,1.11,0 LKR,2261431
23:22,10534,5654234.81 LKR,1.03,0 LKR,2261442
23:22,9528,5936070.18 LKR,1.1,0 LKR,2261449
23:22,9062,6360852.88 LKR,1.03,0 LKR,2261459
23:23,8531,5220644.81 LKR,28.05,22020603.38 LKR,2261467
23:23,10690,7262600.95 LKR,1.1,0 LKR,2261490
23:24,8881,4740760.75 LKR,7.67,12764127.9 LKR,2261500
23:24,10329,6299606.95 LKR,1.04,0 LKR,2261512
23:24,9033,6183948.35 LKR,1.28,117524.38 LKR,2261523
23:25,8250,5489885.2 LKR,2.18,2589306.61 LKR,2261532
23:25,9894,7149159.59 LKR,1.29,358433.82 LKR,2261543
23:25,9058,6330484.3 LKR,1.43,148235.2 LKR,2261553
23:26,8800,8718263.04 LKR,1.1,0 LKR,2261565
23:26,8013,5257320.51 LKR,1.01,0 LKR,2261574
23:26,7921,6887576.03 LKR,2.55,3001538.13 LKR,2261584
23:27,8916,6411171.82 LKR,4.27,7576642.84 LKR,2261597
23:27,8881,4136890.93 LKR,5.04,7264426.56 LKR,2261607
23:28,9308,6066166.27 LKR,2.36,2516572.57 LKR,2261621
23:28,8675,6000763.78 LKR,1.85,1294754.48 LKR,2261632
23:29,8152,4979792.73 LKR,6.77,10469315.26 LKR,2261642
23:29,9779,6407720.91 LKR,3.56,6515462.95 LKR,2261658
23:29,9695,5562785.05 LKR,1.94,813108.84 LKR,2261671
23:30,8880,4656567.43 LKR,2.23,1618639.44 LKR,2261682
23:30,9509,6357845.32 LKR,1.27,130128.31 LKR,2261693
23:30,8589,4615079 LKR,1.98,1269578.12 LKR,2261705
23:31,9746,6248628.19 LKR,2.78,3767712.74 LKR,2261716
23:31,10150,6687847.89 LKR,8.17,15756611.05 LKR,2261727
23:32,10150,5573312.84 LKR,1.66,827189.22 LKR,2261743
23:32,9082,4374239.32 LKR,1.61,652084.4 LKR,2261751
23:32,8880,4251273.07 LKR,2.14,1823246.73 LKR,2261763
23:33,10113,6841170.72 LKR,1.38,198918.97 LKR,2261774
23:33,8648,6267003.98 LKR,1.62,994074 LKR,2261781
23:34,9285,6582886.57 LKR,6.16,20373111.18 LKR,2261792
23:34,10566,5406855.6 LKR,1.81,656321.79 LKR,2261808
23:34,9229,5947322.96 LKR,1.34,0 LKR,2261821
23:34,8316,4465929.99 LKR,1,0 LKR,2261827
23:35,9034,7352545.35 LKR,1.73,1102287.26 LKR,2261836
23:35,8838,6846653.04 LKR,1.1,0 LKR,2261847
23:35,7743,4990068.95 LKR,2.23,2175523.8 LKR,2261856
23:36,8276,6729888.89 LKR,5.47,15395193.38 LKR,2261866
23:36,8439,5795254.04 LKR,1.99,1766639.37 LKR,2261880
23:37,8084,5190225.91 LKR,1.12,0 LKR,2261890
23:37,6835,4175247.25 LKR,4.85,8484743.12 LKR,2261899
23:38,9003,5162409.74 LKR,14.2,17731399.74 LKR,2261912
23:38,8886,3943272.49 LKR,1.22,180762.76 LKR,2261932
23:38,7157,4853385.76 LKR,1.64,611544.67 LKR,2261939
23:39,8155,5559675.25 LKR,1.36,400498.03 LKR,2261948
23:39,7668,5064167.31 LKR,1.17,0 LKR,2261960
23:39,7259,4305006.38 LKR,1.29,0 LKR,2261970
23:40,7300,6399261.66 LKR,1,0 LKR,2261977
23:40,8342,6255859.08 LKR,2.67,3028769.09 LKR,2261987
23:40,8956,7468074.97 LKR,1.09,0 LKR,2262000
23:41,7223,5380488.9 LKR,4.77,11429455.08 LKR,2262010
23:41,8114,6914085.65 LKR,1.1,0 LKR,2262022
23:41,7157,5675118.93 LKR,1.04,0 LKR,2262032
23:42,6315,5691979.11 LKR,2.2,655275.42 LKR,2262041
23:42,7348,7594989.87 LKR,1.79,793273.92 LKR,2262051
23:42,6850,7362600.79 LKR,2.65,2626065.25 LKR,2262061
23:43,7452,7127176.07 LKR,4.3,12539717.92 LKR,2262072
23:44,7611,4456480.49 LKR,21.27,25566454.61 LKR,2262087
23:44,7825,4504621.02 LKR,1.21,31646.78 LKR,2262107
23:44,5898,2577242.44 LKR,1.51,147786.68 LKR,2262119
23:45,6152,5133312.56 LKR,4.28,5734452.4 LKR,2262128
23:45,7973,5298425.23 LKR,11.28,23205165.04 LKR,2262142
23:46,7846,4793876.96 LKR,2.02,537073.44 LKR,2262160
23:46,6810,4274695.28 LKR,1,0 LKR,2262171
23:46,7559,3817375.46 LKR,3.04,3439572.44 LKR,2262179
23:47,8806,5168988.53 LKR,2.29,1688917.64 LKR,2262191
23:47,8552,5407560.26 LKR,1.66,569833.29 LKR,2262203
23:47,7792,5291771.72 LKR,1.06,150867.48 LKR,2262211
23:48,7638,4004261.32 LKR,1.02,0 LKR,2262221
23:48,6979,4100640.15 LKR,2,744945.44 LKR,2262230
23:48,8556,7986960.77 LKR,2.11,1707871.01 LKR,2262239
23:49,8154,7153958.1 LKR,1.24,54764.21 LKR,2262251
23:49,6991,4845889.44 LKR,1.2,188417.84 LKR,2262261
23:49,6122,3587758.29 LKR,1.5,380266.22 LKR,2262271
23:50,6370,5399984.53 LKR,2.22,1767491.66 LKR,2262280
23:50,7530,5897730.4 LKR,1.75,410168.26 LKR,2262295
23:50,6450,5319101.87 LKR,2.11,2072281.87 LKR,2262305
23:51,6721,4949512.19 LKR,1.23,93442.17 LKR,2262315
23:51,5633,5180852.83 LKR,1.07,0 LKR,2262323
23:51,5020,3776404.55 LKR,1.59,591560.9 LKR,2262332
23:52,5419,4540203.77 LKR,1.21,64134.49 LKR,2262340
23:52,4145,4809332.59 LKR,1.19,0 LKR,2262350
23:52,4043,3035357.84 LKR,7.81,8860701.1 LKR,2262361
23:53,6215,4934624.66 LKR,1.71,486372.74 LKR,2262378
23:53,5165,3460369.84 LKR,1.96,699958.27 LKR,2262386
23:53,5453,4823898 LKR,1.29,0 LKR,2262396
23:54,4818,3619173.2 LKR,1.63,564865.45 LKR,2262405
23:54,4931,5589929.56 LKR,1.18,153148.99 LKR,2262414
23:54,4370,4936617.09 LKR,1.26,68011 LKR,2262424
23:55,3922,4748489.17 LKR,1.08,0 LKR,2262435
23:55,3771,3690779.81 LKR,1.96,329011.5 LKR,2262442
23:55,4478,4529949.94 LKR,2.34,1092721.09 LKR,2262453
23:56,5012,3480340.9 LKR,4.58,5772837.98 LKR,2262465
23:56,5328,3080587.51 LKR,1.05,0 LKR,2262477
23:56,4137,2114105.3 LKR,1.32,110160.29 LKR,2262487
23:57,3863,2132646.78 LKR,2.96,2377356.04 LKR,2262496
23:57,5042,2988236.31 LKR,3.55,3749627.45 LKR,2262511
23:58,5249,2755894.83 LKR,1.13,0 LKR,2262520
23:58,4032,1905259.17 LKR,2.21,777245.96 LKR,2262529
23:58,4818,2218364.84 LKR,2.46,1749248.18 LKR,2262539
23:59,5120,2101033.3 LKR,1.48,141390.14 LKR,2262551
23:59,4201,1551841.68 LKR,1.61,429813.67 LKR,2262560
23:59,4346,2411374.36 LKR,1.4,206503.71 LKR,2262572
0:00,3931,2097658.06 LKR,1.39,257288.3 LKR,2262581
0:00,3858,1580319.01 LKR,2.2,679173.61 LKR,2262590
0:01,4701,2040692.85 LKR,5.15,4048946.9 LKR,2262601
0:01,5065,2081753.57 LKR,1.07,0 LKR,2262613
0:01,4062,1610151.84 LKR,11.89,5339071.38 LKR,2262622
0:02,5423,2163854.47 LKR,1.14,0 LKR,2262642
0:02,4564,2950603.69 LKR,1.74,342793.6 LKR,2262649
0:02,4902,2951177.93 LKR,1.7,591519.42 LKR,2262659
0:03,4860,3044408.35 LKR,4.41,3672379.02 LKR,2262670
0:03,5616,4314062.31 LKR,7.83,11810153.53 LKR,2262685
0:04,5478,2984012.69 LKR,1.71,73069.27 LKR,2262699
0:04,5130,2555908.02 LKR,1.45,304506.05 LKR,2262710
0:04,4717,2298360.36 LKR,1.66,283214.22 LKR,2262723
0:05,5313,2945968.57 LKR,20.43,11745105.12 LKR,2262732
0:05,6272,2465119.97 LKR,1.63,173393.96 LKR,2262754
0:06,5527,2229541.85 LKR,1.1,239191.28 LKR,2262764
0:06,4838,2244735.11 LKR,1.52,267141.32 LKR,2262772
0:07,5573,4064695.53 LKR,18.97,13141354.82 LKR,2262783
0:07,6426,4018187.84 LKR,1.9,457894.84 LKR,2262802
0:08,5378,3261197.12 LKR,1.97,812175.13 LKR,2262811
0:08,5989,3423754.19 LKR,2.01,694404.69 LKR,2262825
0:08,6478,3858870.52 LKR,1.2,0 LKR,2262836
0:08,5741,3319351.34 LKR,1.15,0 LKR,2262843
0:09,5388,3265349.66 LKR,2.04,575702.45 LKR,2262852
0:10,6265,4919950.54 LKR,21.65,19862488.94 LKR,2262862
0:10,6252,3064153.21 LKR,1.28,52977.64 LKR,2262881
0:10,4921,2598422.71 LKR,3.28,1999996.91 LKR,2262890
0:11,6489,3292013.58 LKR,1.13,26661.01 LKR,2262901
0:11,5760,2554664.88 LKR,1.51,102918.52 LKR,2262912
0:11,5819,3240661.82 LKR,1.02,0 LKR,2262919
0:11,5849,3388656.41 LKR,1.02,0 LKR,2262929
0:12,5272,3462725.25 LKR,2.93,1587670.12 LKR,2262935
0:12,6292,3271331.13 LKR,3.93,4123576.35 LKR,2262950
0:13,6366,2996537.98 LKR,1.1,63349.22 LKR,2262963
0:13,5020,3524793.74 LKR,1.38,190268.28 LKR,2262969
0:13,4803,2243329.88 LKR,2.07,523886.12 LKR,2262980
0:14,5556,4788050 LKR,1.75,421812.32 LKR,2262990
0:14,5078,4871961.32 LKR,2.06,1215999.07 LKR,2263003
0:14,5290,4121916.82 LKR,1.92,521026.73 LKR,2263014
0:15,5173,4241847.99 LKR,3.5,4630254.73 LKR,2263024
0:15,5794,4694883.1 LKR,1.96,748750.61 LKR,2263037
0:16,5285,4699351.89 LKR,3.75,5426478.45 LKR,2263051
0:16,5911,6535412.75 LKR,3.52,8419665.62 LKR,2263063
0:16,6018,6325319.76 LKR,2.04,2941947.69 LKR,2263076
0:17,5286,4907096.37 LKR,2.7,1455422.34 LKR,2263090
0:17,6179,4083556 LKR,1.06,92721.01 LKR,2263099
0:18,4762,3852717.94 LKR,4.57,7073921.03 LKR,2263110
0:18,6168,5782038.13 LKR,1.1,0 LKR,2263123
0:18,5404,4363567.2 LKR,1.14,146427.21 LKR,2263134
0:19,4597,3420241.88 LKR,4.3,3724496.63 LKR,2263143
0:19,5842,4322861.55 LKR,2.42,1514025.21 LKR,2263156
0:19,5777,5275599.36 LKR,3.05,3735016.35 LKR,2263168
0:20,6010,5284957.27 LKR,1.69,613472.81 LKR,2263181
0:20,5394,3400481.57 LKR,1.88,841493.06 LKR,2263189
0:20,5706,4007330.23 LKR,2.16,1986494.71 LKR,2263202
0:21,6220,4257219.27 LKR,2.77,2747464.87 LKR,2263214
0:21,5997,3508613.2 LKR,1.09,0 LKR,2263225
0:21,5014,2550126.5 LKR,1.88,489074.91 LKR,2263235
0:22,5720,3957450.85 LKR,24.54,12465403.37 LKR,2263244
0:23,6510,3363506.85 LKR,24.6,13793691.97 LKR,2263264
0:23,6325,2600041.91 LKR,1.21,52339.93 LKR,2263287
0:24,4709,2030876.1 LKR,2.15,527526.9 LKR,2263295
0:24,6070,2816754.95 LKR,1.21,109121.14 LKR,2263306
0:24,5328,3449718.89 LKR,1.68,1162519.1 LKR,2263316
0:25,5813,3336784.14 LKR,1.57,962937.95 LKR,2263328
0:25,5609,3641435.03 LKR,17.04,11483000.76 LKR,2263339
0:26,7363,3292368.74 LKR,1.23,114356.54 LKR,2263357
0:26,5726,2826643.64 LKR,2.73,1699181.99 LKR,2263367
0:26,6429,4013985.02 LKR,2.34,1760030.32 LKR,2263378
0:27,6759,4606997.5 LKR,1.23,84517.61 LKR,2263390
0:27,6090,3650480.54 LKR,11.85,13051906.45 LKR,2263398
0:28,7521,3790371.39 LKR,17.19,16622328.28 LKR,2263416
0:28,7078,3458085.38 LKR,1.22,14151.8 LKR,2263437
0:29,5734,3485983.16 LKR,3.24,1794423.6 LKR,2263444
0:29,7300,4759513.33 LKR,2.4,2637949.45 LKR,2263457
0:30,7020,3794285.93 LKR,7.8,7237802.07 LKR,2263467
0:30,7727,5100392.79 LKR,8.29,14584758.13 LKR,2263483
0:31,7837,4327771.62 LKR,12.86,16636970.52 LKR,2263499
0:31,8194,4948738.26 LKR,2.1,885294.99 LKR,2263519
0:32,6696,3526134.72 LKR,1.56,452516.56 LKR,2263529
0:32,6660,4430056.5 LKR,6.04,9788961.77 LKR,2263538
0:32,9091,5943254.23 LKR,3.23,2691581.94 LKR,2263555
0:33,8604,5462193.54 LKR,1.1,30717.61 LKR,2263566
0:33,7221,4444082.67 LKR,1.35,333069.26 LKR,2263577
0:33,7137,4176485.22 LKR,1.06,0 LKR,2263588
0:34,7183,5806486.7 LKR,2.13,1358469.44 LKR,2263595
0:34,8711,7392569.43 LKR,11.75,23321454.45 LKR,2263606
0:35,9706,5896711.23 LKR,3.39,4012689.83 LKR,2263622
0:36,8551,7016132.58 LKR,26.55,26972725.54 LKR,2263638
0:36,8789,5038942.24 LKR,1.02,0 LKR,2263661
0:36,6978,3572695.85 LKR,12.16,15410974.81 LKR,2263669
0:37,9193,5680668.35 LKR,1.66,857075.02 LKR,2263685
0:37,8090,4766289.45 LKR,1.28,290542.69 LKR,2263697
0:37,7615,5081651.4 LKR,2.15,2117404.31 LKR,2263708
0:38,9560,6617273.06 LKR,11.86,25454874.4 LKR,2263721
0:38,10168,8408285.13 LKR,1.24,335010.44 LKR,2263740
0:39,8616,7403085.74 LKR,7.29,16396865.84 LKR,2263749
0:39,10025,6552998.69 LKR,1.35,845240.72 LKR,2263759
0:39,9247,5785422.71 LKR,1.02,0 LKR,2263772
0:40,9191,7086242.03 LKR,1.35,224919.72 LKR,2263780
0:40,8776,7969466.46 LKR,2.1,1665088.69 LKR,2263791
0:41,9854,9347086.55 LKR,2.66,6516306.6 LKR,2263802
0:41,10248,7824102.63 LKR,25.58,43980883.48 LKR,2263815
0:42,9957,5573652.47 LKR,8.27,17845329.3 LKR,2263836
0:42,8736,3650402.12 LKR,2.61,3109005.05 LKR,2263857
0:43,9824,4666205.98 LKR,1.11,30679.61 LKR,2263868
0:43,8277,4332876.33 LKR,1.77,462872.16 LKR,2263877
0:44,8996,5601007.17 LKR,5.61,10750618.5 LKR,2263889
0:44,10758,5443623.37 LKR,1.02,0 LKR,2263905
0:44,9412,3742428.62 LKR,1.85,901374.53 LKR,2263912
0:45,9759,4036897.53 LKR,3.24,4366858.37 LKR,2263925
0:45,10616,4321960.63 LKR,3.69,5790230.12 LKR,2263937
0:45,10659,5180428.36 LKR,2.13,604042.35 LKR,2263949
0:46,9718,3661813.49 LKR,2.15,1835947.55 LKR,2263960
0:46,10123,4504869.63 LKR,1.41,125426.39 LKR,2263971
0:46,9123,3812758.57 LKR,2.22,1611313.26 LKR,2263980
0:47,10407,4351759.36 LKR,1.38,167114.02 LKR,2263991
0:47,9168,4751470.01 LKR,1.25,150387.75 LKR,2264001
0:47,7944,3493076.42 LKR,1.56,120239.73 LKR,2264012
0:48,8610,5676415.28 LKR,8.05,12676899.57 LKR,2264020
0:48,10293,5165069.52 LKR,3.53,5084877.69 LKR,2264034
0:49,9569,5122026.38 LKR,2.25,1797695.8 LKR,2264045
0:50,8664,3539607.55 LKR,8.78,9594100.17 LKR,2264064
0:50,9943,3728901.84 LKR,1,0 LKR,2264075
0:50,9098,3388724.47 LKR,2.54,2738858.38 LKR,2264087
0:51,9823,3890598.23 LKR,2.01,717930.3 LKR,2264098
0:51,9282,3908987.3 LKR,1.11,0 LKR,2264108
0:51,8394,3789518.41 LKR,1.64,476119.11 LKR,2264120
0:52,8462,3816065.43 LKR,10.08,11931362.4 LKR,2264131
0:52,9963,3607905.34 LKR,5.06,6426149.92 LKR,2264145
0:53,9542,3683396.94 LKR,2.43,1913653.36 LKR,2264160
0:53,9077,3450192.41 LKR,10.51,10993113.44 LKR,2264174
0:54,9858,3102598.53 LKR,4.89,6083689.95 LKR,2264189
